posture,segment,rating,pct_MANTENER,pct_REESTRUCTURAR,pct_VENDER,n_loans,total_EAD,mean_EAD,total_RWA,total_EL,mean_PD,mean_LGD,mean_DPD,total_EVA_post,total_capital_lib
prudencial,Mortgage,CCC,100.0,0.0,0.0,3,884685.0,294895.0,884685.0,232347.05796503572,0.4666666666666666,0.559188425267445,165.33333333333334,-111068.99398251786,0.0
prudencial,Project Finance,A,100.0,0.0,0.0,2,7919489.0,3959744.5,11879233.5,1258316.172,0.395,0.4,174.5,879439.717458327,566236.7855448199
prudencial,Project Finance,AA,100.0,0.0,0.0,1,9014165.0,9014165.0,13521247.5,1298039.76,0.36,0.4,114.0,349450.9634521014,629529.3392826709
prudencial,Project Finance,B,100.0,0.0,0.0,4,53792097.0,13448024.25,80688145.5,11658776.205098653,0.45499999999999996,0.47277677736893486,216.0,4737460.821152554,3824879.744750984
prudencial,Project Finance,BB,100.0,0.0,0.0,7,48840264.0,6977180.571428572,73260396.0,8291749.436000001,0.4242857142857143,0.39999999999999997,185.28571428571428,3169591.878503421,3453252.1409376897
prudencial,Project Finance,BBB,100.0,0.0,0.0,5,72762341.0,14552468.2,109143511.5,12263034.696,0.43999999999999995,0.4,265.8,1743719.084765258,5310042.8730113935
prudencial,Project Finance,CCC,100.0,0.0,0.0,2,24031780.0,12015890.0,36047670.0,5945370.079376223,0.45,0.5443647903620124,133.5,3147007.4577847132,1669780.8524127032
prudencial,SME,A,77.77777777777779,0.0,22.22222222222222,9,4692615.0,521401.6666666667,7038922.5,738813.6,0.4033333333333333,0.4,270.1111111111111,929320.0471681334,324830.45263459376
prudencial,SME,AA,33.33333333333333,0.0,66.66666666666666,3,945303.0,315101.0,1417954.5,136123.63199999998,0.36000000000000004,0.4000000000000001,123.66666666666667,186909.9636446156,65435.413168742685
prudencial,SME,AAA,0.0,0.0,100.0,2,290084.0,145042.0,435126.0,41347.53999999999,0.375,0.4,188.0,57086.98839830688,20080.08690720493
prudencial,SME,B,100.0,0.0,0.0,22,10141577.0,460980.7727272727,15212365.5,2239644.4780556154,0.4572727272727272,0.4840690773482665,205.04545454545453,2007788.8302485817,702016.4763865321
prudencial,SME,BB,100.0,0.0,0.0,12,4669846.0,389153.8333333333,7004769.0,815247.6487761678,0.43916666666666665,0.40021962704598124,221.75,924049.9835353652,323254.3453732827
